dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi_fmax0.25,100007,321,481,0.619586,OK
BSDS500,AGWi_fmax0.25,100039,321,481,0.604597,OK
BSDS500,AGWi_fmax0.25,100099,321,481,0.594731,OK
BSDS500,AGWi_fmax0.25,10081,321,481,0.627605,OK
BSDS500,AGWi_fmax0.25,101027,321,481,0.607396,OK
BSDS500,AGWi_fmax0.25,101084,481,321,0.602062,OK
BSDS500,AGWi_fmax0.25,102062,321,481,0.611908,OK
BSDS500,AGWi_fmax0.25,103006,321,481,0.591345,OK
BSDS500,AGWi_fmax0.25,103029,321,481,0.610790,OK
BSDS500,AGWi_fmax0.25,103078,321,481,0.586016,OK
BSDS500,AGWi_fmax0.25,104010,481,321,0.594004,OK
BSDS500,AGWi_fmax0.25,104055,481,321,0.597995,OK
BSDS500,AGWi_fmax0.25,105027,321,481,0.616288,OK
BSDS500,AGWi_fmax0.25,106005,321,481,0.620747,OK
BSDS500,AGWi_fmax0.25,106047,321,481,0.616679,OK
BSDS500,AGWi_fmax0.25,107014,321,481,0.621728,OK
BSDS500,AGWi_fmax0.25,107045,321,481,0.610182,OK
BSDS500,AGWi_fmax0.25,107072,321,481,0.625857,OK
BSDS500,AGWi_fmax0.25,108004,321,481,0.622288,OK
BSDS500,AGWi_fmax0.25,108036,321,481,0.602113,OK
BSDS500,AGWi_fmax0.25,108069,321,481,0.599822,OK
BSDS500,AGWi_fmax0.25,109055,321,481,0.600064,OK
BSDS500,AGWi_fmax0.25,112056,321,481,0.588490,OK
BSDS500,AGWi_fmax0.25,112090,321,481,0.621953,OK
BSDS500,AGWi_fmax0.25,117025,481,321,0.604426,OK
BSDS500,AGWi_fmax0.25,118015,321,481,0.602046,OK
BSDS500,AGWi_fmax0.25,118031,321,481,0.607264,OK
BSDS500,AGWi_fmax0.25,118072,321,481,0.611263,OK
BSDS500,AGWi_fmax0.25,120003,321,481,0.648496,OK
BSDS500,AGWi_fmax0.25,120093,321,481,0.617509,OK
BSDS500,AGWi_fmax0.25,123057,321,481,0.606012,OK
BSDS500,AGWi_fmax0.25,128035,321,481,0.589801,OK
BSDS500,AGWi_fmax0.25,130014,481,321,0.606025,OK
BSDS500,AGWi_fmax0.25,130066,321,481,0.604730,OK
BSDS500,AGWi_fmax0.25,134049,321,481,0.602842,OK
BSDS500,AGWi_fmax0.25,134067,481,321,0.599845,OK
BSDS500,AGWi_fmax0.25,140006,481,321,0.599958,OK
BSDS500,AGWi_fmax0.25,140088,481,321,0.610895,OK
BSDS500,AGWi_fmax0.25,14085,321,481,0.621218,OK
BSDS500,AGWi_fmax0.25,14092,321,481,0.630454,OK
BSDS500,AGWi_fmax0.25,141012,321,481,0.617786,OK
BSDS500,AGWi_fmax0.25,141048,321,481,0.604296,OK
BSDS500,AGWi_fmax0.25,145059,321,481,0.608072,OK
BSDS500,AGWi_fmax0.25,145079,321,481,0.609757,OK
BSDS500,AGWi_fmax0.25,146074,321,481,0.605014,OK
BSDS500,AGWi_fmax0.25,147077,481,321,0.649294,OK
BSDS500,AGWi_fmax0.25,147080,321,481,0.603287,OK
BSDS500,AGWi_fmax0.25,15011,321,481,0.629338,OK
BSDS500,AGWi_fmax0.25,15062,321,481,0.614781,OK
BSDS500,AGWi_fmax0.25,156054,481,321,0.594575,OK
BSDS500,AGWi_fmax0.25,157032,321,481,0.618784,OK
BSDS500,AGWi_fmax0.25,157087,321,481,0.617038,OK
BSDS500,AGWi_fmax0.25,159002,481,321,0.591837,OK
BSDS500,AGWi_fmax0.25,159022,321,481,0.610247,OK
BSDS500,AGWi_fmax0.25,160006,321,481,0.623060,OK
BSDS500,AGWi_fmax0.25,16004,321,481,0.610279,OK
BSDS500,AGWi_fmax0.25,160067,321,481,0.606934,OK
BSDS500,AGWi_fmax0.25,16068,321,481,0.635775,OK
BSDS500,AGWi_fmax0.25,161045,321,481,0.620651,OK
BSDS500,AGWi_fmax0.25,163004,481,321,0.596107,OK
BSDS500,AGWi_fmax0.25,163096,481,321,0.608940,OK
BSDS500,AGWi_fmax0.25,164046,481,321,0.622185,OK
BSDS500,AGWi_fmax0.25,168084,321,481,0.608350,OK
BSDS500,AGWi_fmax0.25,17067,481,321,0.632914,OK
BSDS500,AGWi_fmax0.25,175083,321,481,0.637031,OK
BSDS500,AGWi_fmax0.25,176051,321,481,0.608055,OK
BSDS500,AGWi_fmax0.25,179084,321,481,0.619631,OK
BSDS500,AGWi_fmax0.25,181021,481,321,0.612331,OK
BSDS500,AGWi_fmax0.25,183066,321,481,0.602394,OK
