dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi,100007,321,481,0.649059,OK
BSDS500,AGWi,100039,321,481,0.623689,OK
BSDS500,AGWi,100099,321,481,0.606880,OK
BSDS500,AGWi,10081,321,481,0.624674,OK
BSDS500,AGWi,101027,321,481,0.623734,OK
BSDS500,AGWi,101084,481,321,0.607048,OK
BSDS500,AGWi,102062,321,481,0.624744,OK
BSDS500,AGWi,103006,321,481,0.612252,OK
BSDS500,AGWi,103029,321,481,0.608994,OK
BSDS500,AGWi,103078,321,481,0.611905,OK
BSDS500,AGWi,104010,481,321,0.627062,OK
BSDS500,AGWi,104055,481,321,0.612868,OK
BSDS500,AGWi,105027,321,481,0.640401,OK
BSDS500,AGWi,106005,321,481,0.645330,OK
BSDS500,AGWi,106047,321,481,0.645938,OK
BSDS500,AGWi,107014,321,481,0.608944,OK
BSDS500,AGWi,107045,321,481,0.678223,OK
BSDS500,AGWi,107072,321,481,0.668702,OK
BSDS500,AGWi,108004,321,481,0.701459,OK
BSDS500,AGWi,108036,321,481,0.663916,OK
BSDS500,AGWi,108069,321,481,0.675427,OK
BSDS500,AGWi,109055,321,481,0.648626,OK
BSDS500,AGWi,112056,321,481,0.646383,OK
BSDS500,AGWi,112090,321,481,0.649317,OK
BSDS500,AGWi,117025,481,321,0.639815,OK
BSDS500,AGWi,118015,321,481,0.643837,OK
BSDS500,AGWi,118031,321,481,0.635470,OK
BSDS500,AGWi,118072,321,481,0.639441,OK
BSDS500,AGWi,120003,321,481,0.620855,OK
BSDS500,AGWi,120093,321,481,0.626223,OK
BSDS500,AGWi,123057,321,481,0.632032,OK
BSDS500,AGWi,128035,321,481,0.627333,OK
BSDS500,AGWi,130014,481,321,0.625243,OK
BSDS500,AGWi,130066,321,481,0.640859,OK
BSDS500,AGWi,134049,321,481,0.633239,OK
BSDS500,AGWi,134067,481,321,0.645540,OK
BSDS500,AGWi,140006,481,321,0.646007,OK
BSDS500,AGWi,140088,481,321,0.618172,OK
BSDS500,AGWi,14085,321,481,0.634873,OK
BSDS500,AGWi,14092,321,481,0.615116,OK
BSDS500,AGWi,141012,321,481,0.636280,OK
BSDS500,AGWi,141048,321,481,0.627293,OK
BSDS500,AGWi,145059,321,481,0.639201,OK
BSDS500,AGWi,145079,321,481,0.625721,OK
BSDS500,AGWi,146074,321,481,0.651807,OK
BSDS500,AGWi,147077,481,321,0.639656,OK
BSDS500,AGWi,147080,321,481,0.645257,OK
BSDS500,AGWi,15011,321,481,0.627815,OK
BSDS500,AGWi,15062,321,481,0.635398,OK
BSDS500,AGWi,156054,481,321,0.649080,OK
BSDS500,AGWi,157032,321,481,0.658310,OK
BSDS500,AGWi,157087,321,481,0.659271,OK
BSDS500,AGWi,159002,481,321,0.652397,OK
BSDS500,AGWi,159022,321,481,0.655804,OK
BSDS500,AGWi,160006,321,481,0.630753,OK
BSDS500,AGWi,16004,321,481,0.623999,OK
BSDS500,AGWi,160067,321,481,0.620703,OK
BSDS500,AGWi,16068,321,481,0.641306,OK
BSDS500,AGWi,161045,321,481,0.612814,OK
BSDS500,AGWi,163004,481,321,0.610157,OK
BSDS500,AGWi,163096,481,321,0.615657,OK
BSDS500,AGWi,164046,481,321,0.627704,OK
BSDS500,AGWi,168084,321,481,0.617765,OK
BSDS500,AGWi,17067,481,321,0.663734,OK
BSDS500,AGWi,175083,321,481,0.651779,OK
BSDS500,AGWi,176051,321,481,0.630708,OK
BSDS500,AGWi,179084,321,481,0.632146,OK
BSDS500,AGWi,181021,481,321,0.682790,OK
BSDS500,AGWi,183066,321,481,0.681366,OK
BSDS500,AGWi,185092,321,481,0.640946,OK
BSDS500,AGWi,187058,321,481,0.639899,OK
BSDS500,AGWi,187099,321,481,0.628034,OK
BSDS500,AGWi,188025,321,481,0.661226,OK
BSDS500,AGWi,189006,481,321,0.612237,OK
BSDS500,AGWi,189013,481,321,0.617262,OK
BSDS500,AGWi,189029,481,321,0.640854,OK
BSDS500,AGWi,189096,321,481,0.631920,OK
BSDS500,AGWi,196027,481,321,0.628350,OK
BSDS500,AGWi,196040,481,321,0.628651,OK
BSDS500,AGWi,196062,321,481,0.622641,OK
BSDS500,AGWi,196088,321,481,0.635695,OK
BSDS500,AGWi,198087,481,321,0.608008,OK
BSDS500,AGWi,20069,481,321,0.605737,OK
BSDS500,AGWi,201080,321,481,0.616418,OK
BSDS500,AGWi,2018,481,321,0.618833,OK
BSDS500,AGWi,202000,321,481,0.633066,OK
BSDS500,AGWi,206062,321,481,0.613142,OK
BSDS500,AGWi,206097,321,481,0.614416,OK
BSDS500,AGWi,207038,321,481,0.630630,OK
BSDS500,AGWi,207049,321,481,0.625045,OK
BSDS500,AGWi,208078,321,481,0.643186,OK
BSDS500,AGWi,209021,321,481,0.622500,OK
BSDS500,AGWi,217013,481,321,0.626985,OK
BSDS500,AGWi,217090,321,481,0.651501,OK
BSDS500,AGWi,220003,321,481,0.642263,OK
BSDS500,AGWi,223004,481,321,0.605002,OK
BSDS500,AGWi,223060,321,481,0.672515,OK
BSDS500,AGWi,225022,481,321,0.651840,OK
BSDS500,AGWi,226022,321,481,0.658921,OK
BSDS500,AGWi,226033,321,481,0.638261,OK
BSDS500,AGWi,226043,481,321,0.632585,OK
BSDS500,AGWi,226060,481,321,0.642149,OK
BSDS500,AGWi,228076,321,481,0.606666,OK
BSDS500,AGWi,230063,481,321,0.629709,OK
BSDS500,AGWi,230098,481,321,0.617091,OK
BSDS500,AGWi,23050,481,321,0.635104,OK
BSDS500,AGWi,232076,321,481,0.650975,OK
BSDS500,AGWi,235098,321,481,0.658833,OK
BSDS500,AGWi,238025,481,321,0.609585,OK
BSDS500,AGWi,243095,481,321,0.626616,OK
BSDS500,AGWi,246009,481,321,0.636569,OK
BSDS500,AGWi,247003,321,481,0.644314,OK
BSDS500,AGWi,247012,321,481,0.631123,OK
BSDS500,AGWi,249021,481,321,0.612802,OK
BSDS500,AGWi,250047,481,321,0.630616,OK
BSDS500,AGWi,250087,481,321,0.602080,OK
BSDS500,AGWi,253016,321,481,0.619427,OK
BSDS500,AGWi,253092,481,321,0.621305,OK
BSDS500,AGWi,257098,481,321,0.617117,OK
BSDS500,AGWi,258089,321,481,0.625941,OK
BSDS500,AGWi,259060,481,321,0.615552,OK
BSDS500,AGWi,267036,481,321,0.616407,OK
BSDS500,AGWi,268048,321,481,0.664285,OK
BSDS500,AGWi,268074,481,321,0.710628,OK
BSDS500,AGWi,277053,321,481,0.660939,OK
BSDS500,AGWi,279005,481,321,0.627151,OK
BSDS500,AGWi,28083,321,481,0.629504,OK
BSDS500,AGWi,281017,481,321,0.641827,OK
BSDS500,AGWi,285022,321,481,0.623576,OK
BSDS500,AGWi,288024,321,481,0.681407,OK
BSDS500,AGWi,289011,481,321,0.653019,OK
BSDS500,AGWi,290035,321,481,0.680348,OK
BSDS500,AGWi,29030,321,481,0.659617,OK
BSDS500,AGWi,296028,321,481,0.646614,OK
BSDS500,AGWi,296058,321,481,0.652504,OK
BSDS500,AGWi,302022,481,321,0.623888,OK
BSDS500,AGWi,306051,481,321,0.615361,OK
BSDS500,AGWi,306052,321,481,0.649818,OK
BSDS500,AGWi,3063,321,481,0.635748,OK
BSDS500,AGWi,309040,321,481,0.640446,OK
BSDS500,AGWi,317043,321,481,0.675856,OK
BSDS500,AGWi,326025,321,481,0.611620,OK
BSDS500,AGWi,326085,481,321,0.626182,OK
BSDS500,AGWi,33044,481,321,0.631413,OK
BSDS500,AGWi,334025,481,321,0.618780,OK
BSDS500,AGWi,335088,321,481,0.626359,OK
BSDS500,AGWi,335094,321,481,0.636633,OK
BSDS500,AGWi,344010,321,481,0.625052,OK
BSDS500,AGWi,346016,321,481,0.620626,OK
BSDS500,AGWi,347031,481,321,0.623283,OK
BSDS500,AGWi,35028,321,481,0.632442,OK
BSDS500,AGWi,35049,321,481,0.629188,OK
BSDS500,AGWi,36046,321,481,0.625049,OK
BSDS500,AGWi,365072,481,321,0.641386,OK
BSDS500,AGWi,368037,321,481,0.623145,OK
BSDS500,AGWi,372019,481,321,0.607922,OK
BSDS500,AGWi,376086,321,481,0.618721,OK
BSDS500,AGWi,384022,321,481,0.633057,OK
BSDS500,AGWi,384089,481,321,0.615387,OK
BSDS500,AGWi,385022,321,481,0.622606,OK
BSDS500,AGWi,388006,481,321,0.632636,OK
BSDS500,AGWi,388018,481,321,0.627273,OK
BSDS500,AGWi,388067,481,321,0.650994,OK
BSDS500,AGWi,393035,321,481,0.637542,OK
BSDS500,AGWi,41006,321,481,0.623299,OK
BSDS500,AGWi,41029,321,481,0.616942,OK
BSDS500,AGWi,41085,321,481,0.625333,OK
