dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi_fmax0.45,100007,321,481,0.599174,OK
BSDS500,AGWi_fmax0.45,100039,321,481,0.604633,OK
BSDS500,AGWi_fmax0.45,100099,321,481,0.588400,OK
BSDS500,AGWi_fmax0.45,10081,321,481,0.596872,OK
BSDS500,AGWi_fmax0.45,101027,321,481,0.588261,OK
BSDS500,AGWi_fmax0.45,101084,481,321,0.591334,OK
BSDS500,AGWi_fmax0.45,102062,321,481,0.589520,OK
BSDS500,AGWi_fmax0.45,103006,321,481,0.591172,OK
BSDS500,AGWi_fmax0.45,103029,321,481,0.604833,OK
BSDS500,AGWi_fmax0.45,103078,321,481,0.586575,OK
BSDS500,AGWi_fmax0.45,104010,481,321,0.593619,OK
BSDS500,AGWi_fmax0.45,104055,481,321,0.600194,OK
BSDS500,AGWi_fmax0.45,105027,321,481,0.592942,OK
BSDS500,AGWi_fmax0.45,106005,321,481,0.587193,OK
BSDS500,AGWi_fmax0.45,106047,321,481,0.599902,OK
BSDS500,AGWi_fmax0.45,107014,321,481,0.594130,OK
BSDS500,AGWi_fmax0.45,107045,321,481,0.604162,OK
BSDS500,AGWi_fmax0.45,107072,321,481,0.589469,OK
BSDS500,AGWi_fmax0.45,108004,321,481,0.615010,OK
BSDS500,AGWi_fmax0.45,108036,321,481,0.605240,OK
BSDS500,AGWi_fmax0.45,108069,321,481,0.614970,OK
BSDS500,AGWi_fmax0.45,109055,321,481,0.811008,OK
BSDS500,AGWi_fmax0.45,112056,321,481,0.603728,OK
BSDS500,AGWi_fmax0.45,112090,321,481,0.591531,OK
BSDS500,AGWi_fmax0.45,117025,481,321,0.591028,OK
BSDS500,AGWi_fmax0.45,118015,321,481,0.612317,OK
BSDS500,AGWi_fmax0.45,118031,321,481,0.668745,OK
BSDS500,AGWi_fmax0.45,118072,321,481,0.612290,OK
BSDS500,AGWi_fmax0.45,120003,321,481,0.626350,OK
BSDS500,AGWi_fmax0.45,120093,321,481,0.628520,OK
BSDS500,AGWi_fmax0.45,123057,321,481,0.624499,OK
BSDS500,AGWi_fmax0.45,128035,321,481,0.597891,OK
BSDS500,AGWi_fmax0.45,130014,481,321,0.609337,OK
BSDS500,AGWi_fmax0.45,130066,321,481,0.606281,OK
BSDS500,AGWi_fmax0.45,134049,321,481,0.607610,OK
BSDS500,AGWi_fmax0.45,134067,481,321,0.599855,OK
BSDS500,AGWi_fmax0.45,140006,481,321,0.673023,OK
BSDS500,AGWi_fmax0.45,140088,481,321,1.574522,OK
BSDS500,AGWi_fmax0.45,14085,321,481,1.502095,OK
BSDS500,AGWi_fmax0.45,14092,321,481,1.509701,OK
BSDS500,AGWi_fmax0.45,141012,321,481,1.475323,OK
BSDS500,AGWi_fmax0.45,141048,321,481,1.621215,OK
BSDS500,AGWi_fmax0.45,145059,321,481,1.461029,OK
BSDS500,AGWi_fmax0.45,145079,321,481,1.552817,OK
BSDS500,AGWi_fmax0.45,146074,321,481,1.437114,OK
BSDS500,AGWi_fmax0.45,147077,481,321,1.409704,OK
BSDS500,AGWi_fmax0.45,147080,321,481,0.729540,OK
BSDS500,AGWi_fmax0.45,15011,321,481,0.603164,OK
BSDS500,AGWi_fmax0.45,15062,321,481,0.600833,OK
BSDS500,AGWi_fmax0.45,156054,481,321,0.590750,OK
BSDS500,AGWi_fmax0.45,157032,321,481,0.606552,OK
BSDS500,AGWi_fmax0.45,157087,321,481,0.605380,OK
BSDS500,AGWi_fmax0.45,159002,481,321,0.588217,OK
BSDS500,AGWi_fmax0.45,159022,321,481,0.630449,OK
BSDS500,AGWi_fmax0.45,160006,321,481,0.620610,OK
BSDS500,AGWi_fmax0.45,16004,321,481,0.602904,OK
BSDS500,AGWi_fmax0.45,160067,321,481,0.615271,OK
BSDS500,AGWi_fmax0.45,16068,321,481,0.635515,OK
BSDS500,AGWi_fmax0.45,161045,321,481,0.595287,OK
BSDS500,AGWi_fmax0.45,163004,481,321,0.588968,OK
BSDS500,AGWi_fmax0.45,163096,481,321,0.606861,OK
BSDS500,AGWi_fmax0.45,164046,481,321,0.590295,OK
BSDS500,AGWi_fmax0.45,168084,321,481,0.586783,OK
BSDS500,AGWi_fmax0.45,17067,481,321,0.613518,OK
BSDS500,AGWi_fmax0.45,175083,321,481,0.628490,OK
BSDS500,AGWi_fmax0.45,176051,321,481,0.601200,OK
BSDS500,AGWi_fmax0.45,179084,321,481,0.589268,OK
BSDS500,AGWi_fmax0.45,181021,481,321,0.629235,OK
BSDS500,AGWi_fmax0.45,183066,321,481,0.598940,OK
BSDS500,AGWi_fmax0.45,185092,321,481,0.673278,OK
BSDS500,AGWi_fmax0.45,187058,321,481,0.699335,OK
BSDS500,AGWi_fmax0.45,187099,321,481,0.621354,OK
BSDS500,AGWi_fmax0.45,188025,321,481,0.606991,OK
BSDS500,AGWi_fmax0.45,189006,481,321,0.597572,OK
BSDS500,AGWi_fmax0.45,189013,481,321,0.594487,OK
BSDS500,AGWi_fmax0.45,189029,481,321,0.603857,OK
BSDS500,AGWi_fmax0.45,189096,321,481,0.611645,OK
BSDS500,AGWi_fmax0.45,196027,481,321,0.598613,OK
BSDS500,AGWi_fmax0.45,196040,481,321,0.614524,OK
BSDS500,AGWi_fmax0.45,196062,321,481,0.601733,OK
BSDS500,AGWi_fmax0.45,196088,321,481,0.611088,OK
BSDS500,AGWi_fmax0.45,198087,481,321,0.700713,OK
